ID	Name	Name Translation	Description	Description Translation
199	Frost giant	ледян$AMT гигант$N2A	A twelve foot tall giant covered in furs.	Гигант двенадцати футов роста, одетый в звериные шкуры.
200	Griffon	грифон$N2A	It is half lion, half eagle.  It flies menacingly towards you.	Полулев-полуорел - одна из величайших птиц.
201	Homunculus	гомункул$N2A	It is a small demonic spirit full of malevolence.	Маленький демонический дух, полный ненависти. Своими ядовитыми когтями он стремится разорвать вас на части.
202	Gnome mage	Gnome mage	A mage of short stature.	A mage of short stature.
203	Clear hound	прозрачн$AFT гонч$AFM	A completely translucent hound.	Абсолютно прозрачная гончая.
204	Clay golem	глинян$AMT голем$N2A	It is a massive animated statue made out of hardened clay.	Массивная оживленная статуя из прочной глины. В ней нет ни капли разума; ей приказано убивать.
205	Umber hulk	халк$N2A	This bizarre creature has glaring eyes and large mandibles capable of slicing through rock.	Это жуткое существо имеет горящие глаза и огромные челюсти, способные поедать камень. Халки - одни из опаснейших аборигенов подземелья!
206	Orc captain	орк$N2A-капитан$N2A	An armoured orc with an air of authority.	Завоевавший авторитет своей силой орк, закованный в доспехи.
207	Gelatinous cube	желатинов$AMT куб$N2A	It is a strange, vast gelatinous structure that assumes cubic proportions as it lines all four walls of the corridors it patrols.  Through its transparent jelly structure you can see treasures it has engulfed, and a few corpses as well.	Странное существо, принимающее кубические пропорции, заполняя собой коридоры подземелья. Через его полупрозрачные стенки вы видите поглощенные им сокровища, а также несколько разложившихся трупов.
208	Giant green dragon fly	зелен$AFT стрекоз$N1T	A vast, foul-smelling dragonfly.	Большая, отвратительно пахнущая стрекоза.
209	Fire giant	огненн$AMT гигант$N2A	A glowing fourteen foot tall giant.  Flames drip from its red skin.	Гигант четырнадцати футов ростом. Пламя бежит по его красной коже.
210	Hummerhorn	шерш*ен*ь$N2E	A giant buzzing wasp, its stinger drips venom.	Большая жужжащая оса с особо ядовитым жалом.
211	Ulfast, Son of Ulfang	Улфаст$N2A, сын$N2A Улфанга	A short and swarthy Easterling.	Низкорослый коренастый вастак, младший сын предателя Улфанга.
212	Quasit	квазит$N2A	The chaotic evil master`s favourite pet.	Любимая кошечка злого властелина.
213	Imp	бес$N2A	The lawful evil master`s favourite pet.	Любимая собачка злого властелина.
214	Forest troll	лесн$AMU тролл*ь$N2E	He is green skinned and ugly.	Зеленокожее, высокое, сильное, глупое, уродливое существо. ``Моя хотеть есть! Твоя вкусно! Твоя еда!``
215	Nár, the Dwarf	Нар$N2A Гном$N2A	The friend and companion of the dwarven king Thror, he went mad with grief after Thror`s death at the hands of Azog the Orc.  With torn beard and ragged clothes, he seems to have fixed on you as a convenient target to vent his anger.	Друг и компаньон Короля под Горой Трора, он сошел с ума от горя после смерти Трора от рук Азога. С разодранной бородой, в рваной одежде, он выбрал вас подходящей целью, чтобы выместить свой гнев.
216	2-headed hydra	двухголов$AFT гидр$N1T	A strange reptilian hybrid with two heads, guarding its hoard.	Странная рептилия с двумя головами, охраняющая свои сокровища.
217	Water spirit	водян$AMU дух$N2A	A whirlpool of sentient liquid.	Водоворот разумной жидкости.
218	Giant red scorpion	красн$AMT скорпион$N2A	It is fast and poisonous.	Быстро бегающий, ядовитый гигантский скорпион.
219	Earth spirit	землян$AMU дух$N2A	A whirling form of sentient rock.	Вращающийся столб разумных камней.
220	Fire spirit	огненн$AMT дух$N2A	A whirlwind of sentient flame.	Смерч разумного огня.
221	Fire hound	огненн$AFT гонч$AFM	Flames lick at its feet and its tongue is a blade of fire.  You can feel a furnace heat radiating from the creature.	Пламя лижет ее лапы; ее язык - язык огня. Жар этого существа раскаляет камни.
222	Cold hound	холодн$AFT гонч$AFM	A hound as tall as a man, this creature appears to be composed of angular planes of ice.  Cold radiates from it and freezes your breath in the air.	Гончая ростом с человека, целиком состоящая изо льда. От нее идет холодный воздух, в котором замерзает дыхание.
223	Energy hound	энергетическ$AFM гонч$AFM	Saint Elmo`s Fire forms a ghostly halo around this hound, and sparks sting your fingers as energy builds up in the air around you.	Эльмовы огни образуют призрачное гало вокруг этой гончей. Искры обжигают вам пальцы, отлетая от чистой энергии, находящейся перед вами.
224	Potion mimic	имитаци$N1N напитка	A strange creature that disguises itself as a discarded potion bottle to lure unsuspecting adventurers within reach of its venomous claws.	Странное существо, маскирующееся под выброшенную бутылку с магическим зельем, чтобы заманить ничего не подозревающего путника к своим ядовитым когтям.
225	Blink dog	мерцающ$AFM собак$N1M	A strange magical member of the canine race, its form seems to shimmer and fade in front of your very eyes.	Странный волшебный член собачьей расы. Ее форма мерцает и исчезает у вас на глазах. Стая мерцающих собак полностью сбивает вас с толку.
226	Uruk	урук$N2A	A cunning orc of power, as tall as a man, and stronger.  It fears little.	Орк ростом с человека, и превышающий его силой - элитный солдат Саурона.
227	Shagrat, the Orc Captain	Шаграт$N2A, капитан$N2A орков	He is an orc of power and great cunning, leader of the garrison at Cirith Ungol.	Сильный и хитрый орк, командир гарнизона в Кирит Унголе.
228	Gorbag, the Orc Captain	Горбаг$N2A, капитан$N2A орков	He is an orc of power and great cunning, leader of the garrison at Minas Morgul.	Сильный и хитрый орк, командир гарнизона в Минас Моргуле.
229	Shambling mound	движущ$AMOся холм$N2A	A pile of rotting vegetation that slides towards you with a disgusting stench, waking all it nears.	Груда частично разумной гниющей растительности, медленно скользящая к вам. Ее зловоние пробуждает всех поблизости.
230	Stone giant	каменн$AMT гигант$N2A	It is eighteen feet tall and looking at you.	Он восемнадцати футов ростом. Его телосложение напоминает каменную скалу.
231	Giant black dragon fly	черн$AFT стрекоз$N1T	The size of a large bird, this fly drips caustic acid.	Это стрекоза размером с большую птицу, выделяющая едкую кислоту.
232	Stone golem	каменн$AMT голем$N2A	It is a massive animated statue.	Большая оживленная статуя из камня, неразумная, но невероятно сильная.
233	Red mold	красн$AFT плесен$N3	It is a strange red growth on the dungeon floor; it seems to burn with flame.	Странный красный нарост на полу. Кажется, он горит огнем, и не сгорает.
234	Giant gold dragon fly	золот$AFT стрекоз$N1T	Large beating wings support this dazzling insect.  A loud buzzing noise pervades the air.	Это громко жужжащее насекомое, кажется, окружает ветер. Жужжанье хорошо слышно даже на большом расстоянии.
235	Bolg, Son of Azog	Больг$N2A, сын$N2A Азога	A large and powerful orc, he looks just like his father.  He is tall and fast, but fortunately blessed with orcish brains.	Большой и сильный орк, выглядящий в точности как его отец. Он высок и быстр; к счастью, при всем том он сохранил орочьи мозги.
236	Phase spider	фазов$AMT паук$N2A	A spider that never seems quite there.  Everywhere you look it is just half-seen in the corner of one eye.	Этот паук, кажется, никогда не бывает в одном месте полностью. Куда бы вы не взглянули, вы видите только его половину в уголке глаза.
237	3-headed hydra	трехголов$AFT гидр$N1T	A strange reptilian hybrid with three heads, guarding its hoard.	Странная рептилия с тремя головами, охраняющая свои сокровища.
238	Earth hound	землян$AFT гонч$AFM	A beautiful crystalline shape does not disguise the danger this hound clearly presents.  Your flesh tingles as it approaches.	Красивый хрустальный силуэт не скрывает очевидной опасности этого представителя семейства собачьих.
239	Air hound	воздушн$AFT гонч$AFM	Swirling vapours surround this beast as it floats towards you, seemingly walking on air.  Noxious gases sting your throat.	Пар вьется около этой собаки, в то время, как она подплывает к вам, не касаясь земли. Ядовитые газы обжигают вам горло.
240	Sabre-tooth tiger	саблезуб$AMT тигр$N2A	A fierce and dangerous cat, its huge tusks and sharp claws would lacerate even the strongest armour.	Яростный и отчаянный тигр. Его огромные клыки и острые когти разорвут любые доспехи.
241	Water hound	водян$AFT гонч$AFM	Liquid footprints follow this hound as it pads around the dungeon.  An acrid smell of acid rises from the dog`s pelt.	Эта гончая оставляет за собой мокрые отпечатки лап. От ее шкуры противно воняет кислотой.
242	Chimaera	химер$N1T	It is a strange concoction of goat, lion and dragon, with the heads of all three beasts.	Странный гибрид козы, льва и дракона, с головами всех этих зверей.
243	Quylthulg	квулсхулг$N2A	It is a strange pulsing mound of flesh.	Странный пульсирующий холмик плоти - одна из самых странных форм жизни.
244	Sasquatch	саскватч$N2A	A tall shaggy, furry humanoid, it could call the yeti brother.	Высокий гуманоид, покрытый лохматой шерстью; старший брат йети.
245	Werewolf	оборот*ен*ь$N2E	It is a huge wolf with eyes that glow with manly intelligence.	Огромный волк с глазами, в которых чувствуется человеческий разум.
246	Dark elven lord	темн$AMT эльф$N2A-лорд$N2A	A dark elven figure in armour and radiating evil power.	Темный эльф-рыцарь, облаченный в доспехи, излучающий злую силу.
247	Cloud giant	облачн$AMT гигант$N2A	It is a twenty foot tall giant wreathed in clouds.	Гигант двадцати футов ростом, окруженный облаками и туманом.
248	Lugdush, the Uruk	Лугдуш$N2C, Урук$N2A	A large and powerful orc, captain of one of Saruman`s orcish regiments.	Большой и сильный орк, командир одного из орочьих отрядов Сарумана.
249	Uglúk, the Uruk	Углук$N2A, Урук$N2A	A strong and cunning orc warrior, the commander of Saruman`s orcish horde.	Сильный и хитрый орк, командир орочьего войска Сарумана.
250	Blue dragon bat	син$AFO летуч$AFM мыш$N3-дракон$N2A	It is a glowing blue bat with a sharp tail.	Светящаяся летучая мышь с острым хвостом, напоминающая крошечного дракона.
251	Scroll mimic	имитаци$N1N свитка	A strange creature that disguises itself as a discarded scroll to lure unsuspecting adventurers within reach of its venomous claws.	Странное существо, маскирующееся под выброшенный магический свиток, чтобы заманить ничего не подозревающего путника к своим ядовитым когтям.
252	Fire vortex	огненн$AMT вихр*ь$N2E	A whirling maelstrom of fire.	Шипящая огненная воронка.
253	Water vortex	водян$AMU вихр*ь$N2E	A caustic spinning whirlpool of water.	Водоворот, окисляющий все, к чему он прикасается.
254	Cold vortex	вихр*ь$N2E холода	A twisting whirlpool of frost.	Смерч очень холодного воздуха, поддерживаемый непонятной силой.
255	Energy vortex	энергетическ$AMM вихр*ь$N2E	A shimmering tornado of air, sparks crackle along its length.	Маленький сверкающий смерч, сыплющий искрами.
256	Mummified orc	мумифицированн$AMT орк$N2A	It is an orcish figure covered in wrappings.	Фигура орка, завернутая в грязно-белые тряпки с головой. Не вполне ясно, кому понадобилось мумифицировать орка, но размышлять на эту тему времени нет.
257	Killer stag beetle	жук$N2A-олен*ь$N2E	It is a giant beetle with vicious claws.	Жук-переросток с огромными клешнеподобными челюстями.
258	Iron golem	железн$AMT голем$N2A	It is a massive metal statue that moves steadily towards you.	Массивная металлическая статуя, оживленная магией. Страшный удар ее железных кулаков может разбить ваш череп на мелкие кусочки.
259	Giant yellow scorpion	желт$AMT скорпион$N2A	It is a giant scorpion with a sharp stinger.	Гигантский скорпион с острым жалом.
260	Black ooze	черн$AFT слиз$N3	It is a strangely moving puddle.	Странная черная масса. Она двигается настолько медленно, что с первого взгляда не понятно, что она живая.
261	Easterling champion	опытн$AMT воин$N2A	A scarred warrior who moves with confidence.	Умудренный опытом воин, уверенно и методично двигающий мечом.
262	Azog, King of the Uruk-Hai	Азог$N2A, Корол*ь$N2E Урук-Хай	He is also known as the King of Khazad-dum.  His ego is renowned to be bigger than his head.	Также известен как Король Казад-Дума. Его самомнение больше его головы. Именно орки Азога выгнали гномов из Мории.
263	Master rogue	опытн$AMT вор$N2A	A thief of great power and shifty speed.	Вор огромного мастерства и невероятной скорости. Вы немного запоздало обнаруживаете, что можно быть ограбленным и даже не заметить этого.
264	Red dragon bat	красн$AFT летуч$AFM мыш$N3-дракон$N2A	It is a sharp-tailed bat, wreathed in fire.	Летучая мышь с острым хвостом, одетая пламенем, похожая на миниатюрного дракона.
265	Killer white beetle	бел$AMT жук$N2A-убийц$N1T	It is looking for prey.	Гигантский жук с острыми как бритвы челюстями.
266	Giant bronze dragon fly	бронзов$AFT стрекоз$N1T	This vast gleaming bronze fly has wings which beat mesmerically fast.	Большая стрекоза, брюшко которой отливает бронзой. Вы очарованы красивыми движениями ее быстро машущих крыльев.
267	Forest wight	лесн$AMU призрак$N2A	It is a ghostly apparition with a humanoid form.	Призрачный силуэт человека. Трудно сказать, что с ним стало; сейчас эта туманная тень не имеет определенных черт лица.
268	Ibun, Son of Mîm	Ибун$N2A, сын$N2A Мима	One of the last of the Petty-Dwarves.  Ibun is a tricky sorcerous little being, full of mischief.	Один из последних малышей-гномов. Ибун - маленькое странное существо, до ушей набитое предательством.
269	Khîm, Son of Mîm	Кхим$N2A, сын$N2A Мима	One of the last of the Petty-Dwarves.  Khim is a tricky sorcerous little being, full of mischief.	Один из последних малышей-гномов. Кхим - маленькое странное существо, до ушей набитое предательством.
270	4-headed hydra	четырехголов$AFT гидр$N1T	A strange reptilian hybrid with four heads, guarding its hoard.	Странная рептилия с четырьмя головами, охраняющая свои сокровища.
271	Mummified human	мумифицированн$AMT человек$N2A	It is a human form encased in mouldy wrappings.	Человеческая фигура в грязных тряпках.
272	Vampire bat	летуч$AFM мыш$N3-вампир$N2A	A blood-sucking bat that flies at your neck hungrily.	Небольшая черная мышь, летящая на запах крови.
273	Sangahyando of Umbar	Сангахьяндо из Умбара	A Black Numenorean with a blacker heart.	Черный Нуменорец с еще более черным сердцем.
274	Angamaitë of Umbar	Ангамаит$N2A из Умбара	A Black Numenorean who hates the men of the west.	Черный Нуменорец, ненавидящий людей с Запада.
275	Banshee	банши	It is a ghostly woman`s form that wails mournfully.	Призрачная фигура женщины, печально воющая. О чем? Этого вам не узнать, пока вы не станете подобны ей.
276	Pukelman	пукельман$N2A	A stumpy figure carved from stone, with glittering eyes, this sentinel strides towards you with deadly intent.	Неуклюжая фигура, вырезанная из камня, со сверкающими глазами. Этот страж направляется к вам с очевидными целями. Пукельман кажется с виду безобидным и даже смешным по сравнению с ужасными массивными големами, но не стоит его недооценивать.
277	Dark elven druid	темн$AMT эльф$N2A-друид$N2A	A powerful dark elf, with mighty nature-controlling enchantments.	Темный эльф, обладающий властью над мрачными силами природы.
278	Stone troll	каменн$AMT тролл*ь$N2E	He is a giant troll with scabrous black skin.	Огромный тролль с практически каменной кожей, и каменной же головой.
279	Troll priest	тролл*ь$N2E-жрец$N2A	A troll who is so bright he knows how to read.	Очень умный тролль. Он даже умеет читать.
280	Wereworm	черв*ь$N2E-оборот*ен*ь$N2E	A huge wormlike shape dripping acid, twisted by evil sorcery into a foul monster that breeds on death.	Огромный червь, выделяющий кислоту, превращенный злой магией в чудовищного монстра. С такими собирался сражаться старина Бильбо в Самой Крайней Пустыне, но теперь вы думаете, что он просто не знал, что говорил.
281	Carrion crawler	падальщик$N2A	A hideous centipede covered in slime and with glowing tentacles around its head.	Уродливая многоножка, покрытая слизью, с горящими щупальцами вокруг головы.
282	Killer red beetle	красн$AMT жук$N2A-убийц$N1T	It is a giant beetle with poisonous mandibles.	Гигантский жук с ядовитыми мандибулами.
283	Giant grey ant	сер$AMT мурав^ь*е*й$N2E	It is an ant encased in shaggy grey fur.	Гигантский муравей, покрытый серой шерстью.
284	Ulwarth, Son of Ulfang	Улварт$N2A, сын$N2A Улфанга	A short and swarthy Easterling.	Низкорослый коренастый вастак.
285	Displacer beast	перемещающ$AMM звер*ь$N2E	It is a huge black panther, clubbed tentacles sprouting from its shoulders.	Необычно большая черная пантера с тяжелыми щупальцами, свисающими с плеч.
286	Giant fire tick	огненн$AMT клещ$N2A	It is smoking and burning with great heat.	Он дымится и светится от тепла.
287	Cave ogre	пещерн$AMT огр$N2A	A giant orc-like figure with an awesomely muscled frame.	Гигантская фигура с орочьим лицом и весьма рельефными мускулами.
288	White wraith	бел$AMT призрак$N2A	It is a tangible but ghostly form made of white fog.	Осязаемая и в то же время призрачная фигура белого тумана.
289	Lesser Maia	ангел$N2A	Who knows why you are now facing an angel as an enemy? Is it a punishment from your own god for your sins, or a test of your mettle, or has this angel been sent by another god on behalf of someone who wishes to claim the glory for his own god? Perhaps you will never know: but it is here, and you must fight it.	Кто знает, почему вы встречаете ангела как врага? Может быть, это наказание вашего бога за ваши грехи, или проверка вашей отваги? Или этот ангел был послан каким-то другим богом, и желает славы лишь для него? Наверное, вы никогда этого не узнаете. Но раз уж он здесь, вам придется сражаться с ним.
290	Mîm, Betrayer of Turin	Мим$N2A, Предател*ь$N2E Турина	The last of his race, Mim is a Petty-Dwarf.  Petty-Dwarves are strange creatures, powerful in sorcery and originating in the East.  They have been hunted nearly to extinction by the High Elves.	Мим - последний из малышей-гномов, странной разновидности гномов с Востока, истребленных эльфами. Мим согласился укрыть в своем жилище Турина Турамбара, но выдал его оркам Моргота. `...На Турина набросили сеть и уволокли оттуда. Когда же все стихло, Мим выполз из своего жилища. Солнце поднялось над туманами Сириона, а Мим стоял возле мертвых людей, на вершине холма.`
291	Killer fire beetle	огненн$AMT жук$N2A-убийц$N1T	It is a giant beetle wreathed in flames.	Гигантский жук с крыльями, светящимися жаром.
292	Creeping adamantite coins	кучк$N1M адамантовых монет	It appears to be a pile of coins made of precious adamant, slithering toward you on lots of tiny legs.	Она кажется вполне обычной кучкой монет из драгоценного адаманта... пока не начинает подползать к вас на крошечных ножках.
293	Algroth	алгрот$N2A	A powerful troll form.  Venom drips from its needlelike claws.	Здоровенный тролль. Его острые когти кажутся пропитанными ядом.
294	Vibration hound	вибрационн$AFM гонч$AFM	A blurry canine form which seems to be moving as fast as the eye can follow.  You can feel the earth resonating beneath your feet.	Сильно размытый силуэт собаки - вы едва успеваете уследить за его движениями. Вы чувствуете, как земля резонирует у вас под ногами.
295	Nexus hound	пространственн$AFT гонч$AFM	A locus of conflicting points coalesce to form the vague shape of a huge hound.  Or is it just your imagination?	Отдельные точки пространства собираются вместе, образуя расплывчатый силуэт огромной собаки. Или вам это только кажется?
296	Ogre mage	огр$N2A-маг$N2A	A hideous ogre wrapped in black sorcerous robes.	Особо уродливый огр в черных робах колдуна, гораздо умнее обычных огров.
297	Lokkak, the Ogre Chieftain	Локкак$N2A, Вожд*ь$N2E Огров	An ogre renowned for acts of surpassing cruelty, Lokkak quickly became the leader of a large band of violent ogres.	Огр, известный своей жестокостью. Локкак быстро стал лидером большой банды огров-единомышленников.
298	Vampire	вампир$N2A	It is a humanoid with an aura of power.  You notice a sharp set of front teeth.	Человек, в котором чувствуется какая-то сила. Вы замечаете у него острые зубы и красные зрачки.
299	Gorgimaera	горгимер$N1T	The result of evil experiments, this travesty of nature should never be alive.  It has three heads - goat, dragon and gorgon - all attached to a lion`s body.	Это порождение ужасных экспериментов не должно было появляться на свет. Оно обладает тремя головами - козы, дракона и горгоны - на теле льва.
300	Colbran	колбран$N2A	A man-shaped form of living lightning, sparks and shocks crackle all over this madly capering figure, as it leaps and whirls around and about you.	Живая молния в обличье человека. Окружающие ее электрические искры трещат и отлетают в вас.
301	Spirit naga	призрачн$AFT наг$N1M	A wraithly snake-like form with the torso of a beautiful woman, it is the most powerful of its kind.	Призрачная змееподобная фигура с торсом красивой женщины, сильнейшая из всех наг.
302	5-headed hydra	пятиголов$AFT гидр$N1T	A strange reptilian hybrid with five heads dripping venom.	Странная рептилия с пятью головами, с которых капает яд.
303	Black knight	черн$AMT рыцар*ь$N2E	He is a figure encased in deep black plate armour; he looks at you menacingly.	Рыцарь, с ног до головы облаченный в черные, как будто обожженные доспехи. Вы чувствуете на себе его горящий взгляд.
304	Uldor the Accursed	Улдор$N2A Проклят$AMT	An evil and cunning man from the East.  Having once sworn allegiance to the sons of Feanor, it was Uldor`s treachery that turned the tide of the Battle of Unnumbered Tears in Morgoth`s favour.	Злой и хитрый вастак, человек с Востока. Он поклялся в верности сыновьям Феанора, но предал их. Из-за предательства Улдора Битва Бесчисленных Слез была выиграна Морготом. `Тень сомнения омрачила сердце Фингона, и он посмотрел на восток: не клубится ли пыль Анфауглита под ногами войск Маэдроса? Он не знал, что выступлению Маэдроса помешало коварство Улдора Проклятого, обманувшего его ложным предостережением о нападении с Ангбэнда.`
305	Mage	маг$N2A	A mage of some power - you can tell by the size of his hat.	Маг определенной силы - это заметно по размеру его шляпы.
306	Mind flayer	стирател*ь$N2E разума	A humanoid form with a gruesome head, tentacular mouth, and piercing eyes.  Claws reach out for you and you feel a presence invade your mind.	Человекоподобный монстр с огромной головой, щупальцами во рту и пронизывающим взором, ищущим вас. Вы чувствуете чужое присутствие в своем разуме.
307	Draebor, the Imp	Дрэбор$N2A, Бес$N2A	An intensely irritating git of a monster.	Не столько опасный, сколько раздражающий монстр.
308	Basilisk	василиск$N2A	An evil reptile that preys on unsuspecting travellers.  Its eyes stare deeply at you and your soul starts to wilt!	Злобная рептилия, питающаяся неаккуратными путниками. Взгляд ее глубоких глаз превращает в камень.
309	Ice troll	ледян$AMU тролл*ь$N2E	He is a white troll with powerfully clawed hands.	Большой белый тролль с устрашающими когтями. Трудно сказать, чем он питался на Крайнем Севере; во всяком случае, пришел он оттуда голодным.
310	Purple worm	пурпурн$AMT черв*ь$N2E	It is a massive worm form, many feet in length.  Its vast maw drips acid and poison.	Огромный червь, длиной во много метров. Из его разверстой пасти капает кислота и яд.
311	Maia	архангел$N2A	An angel protected by an aura of holiness.  Its muscular form looks extremely powerful next to your own frail body.	Ангел, окруженный светлой аурой. Его мускулистая фигура кажется куда сильней вашего хрупкого тела. Вы боретесь с желанием сдаться и прекратить бессмыссленную борьбу.
312	Catoblepas	катоблепас$N2A	A strange ox-like form with a huge head but a thin, weak neck, it looks likes the creation of some deranged alchemist.	Странное животное с огромной головой на тонкой слабой шее. Оно выглядит созданием какого-то сумасшедшего алхимика. Его взгляд - зрелище не для слабонервного.
313	Ring mimic	имитаци$N1N кольца	A strange creature that disguises itself as a discarded ring to lure unsuspecting adventurers within reach of its venomous claws.	Странное существо, маскирующееся под выброшенное кольцо, чтобы заманить ничего не подозревающего путника к своим ядовитым когтям.
314	Young blue dragon	молод$AMU син$AMO дракон$N2A	It has a form that legends are made of.  Its still-tender scales are a deep blue in hue.  Sparks crackle along its length.	О таких драконах были сложены легенды. Его все еще непрочная чешуя имеет глубокий синий тон. Искры потрескивают вокруг него. Вы невольно восхищаетесь красотой этого существа. Неужели вам нужно сражаться с ним?
315	Young white dragon	молод$AMU бел$AMT дракон$N2A	It has a form that legends are made of.  Its still-tender scales are a frosty white in hue.  Icy blasts of cold air come from it as it breathes.	О таких драконах были сложены легенды. Его все еще непрочная чешуя имеет холодный белый оттенок. Он дышит ледяным воздухом. Вы невольно восхищаетесь красотой этого существа. Неужели вам нужно сражаться с ним?
316	Young green dragon	молод$AMU зелен$AMT дракон$N2A	It has a form that legends are made of.  Its still-tender scales are a deep green in hue.  Foul gas seeps through its scales.	О таких драконах были сложены легенды. Его все еще непрочная чешуя имеет глубокий зеленый тон; сквозь нее просачиваются ядовитые газы. Вы невольно восхищаетесь красотой этого существа. Неужели вам нужно сражаться с ним?
317	Young bronze dragon	молод$AMU бронзов$AMT дракон$N2A	It has a form that legends are made of.  Its still-tender scales are a rich bronze hue, and its shape glitters with strange colours that confuse you.	О таких драконах были сложены легенды. Его все еще непрочная чешуя имеет богатый бронзовый тон, переливающийся странными цветами. Вы невольно восхищаетесь красотой этого существа. Неужели вам нужно сражаться с ним?
318	Mithril golem	мифрилов$AMT голем$N2A	It is a massive statue of purest mithril.  It looks expensive!	Тяжелая статуя из чистейшего мифрила. Выглядит дороговато! Но всякие меркантильные порывы заглушает мерный звук ее тяжелых шагов.
319	Shadow drake	дракон$N2A теней	It is a dragon-like form wrapped in shadow.  Glowing red eyes shine out in the dark, and it is surrounded by an aura of unearthly cold that chills the soul rather than the body.	Силуэт дракона, окруженный тенью. Горящие красные глаза светятся из темноты. Вы чувствуете неземной холод, от которого стынет душа, а не тело.
320	Skeleton troll	скелет$N2A тролля	It is a troll skeleton animated by dark dweomers.	Оживленный темными магами скелет тролля, сохранивший часть своей силы.
321	Manticore	мантикор$N1T	It is a winged lion`s body with a human torso and a tail covered in vicious spikes.	Крылатое тело льва с человеческим торсом и хвостом, покрытым шипами.
322	Giant blue ant	син$AMO мурав*е*й^ь$N2E	It is a giant ant that crackles with energy.	Гигантский муравей, потрескивающий от разрядов электричества.
323	Giant army ant	мурав*е*й^ь$N2E-солдат$N2A	An armoured form moving with purpose.  Powerful on its own, flee when hordes of them march.	Большой муравей с жуткими челюстями. Он опасен и в одиночку, а если маршируют их орды - бегите!
324	Grave wight	могильн$AMT призрак$N2A	It is a ghostly form with eyes that haunt you.	Призрачная фигура со страшными глазами, в упор глядящими на вас.
325	Killer slicer beetle	жук$N2A-точильщик$N2A	It is a beetle with deadly sharp cutting mandibles and a rock-hard carapace.	Жук с острыми мандибулами и очень плотным панцирем.
326	Ghost	привидени*е$N2E	You don`t believe in it.  But it believes in you...	Вы в него не верите. Но оно верит в вас...
327	Death watch beetle	жук$N2A смерти	It is a giant beetle that produces a chilling sound.	Гигантcкий жук, издающий леденящие кровь звуки.
328	Ogre shaman	огр$N2A-шаман$N2A	It is an ogre wrapped in furs and covered in grotesque body paints.	Огр, одетый в шкуры, и покрытый гротескными татуировками.
329	Nexus quylthulg	пространственн$AMT квулсхулг$N2A	It is a very unstable, strange pulsing mound of flesh.	Очень нестабильный, пульсирующий холмик плоти. Он выглядит так, как будто он не вполне реален.
330	Shelob, Spider of Darkness	Шелоб, Паук$N2A Тьмы	Shelob is an enormous bloated spider, the last daughter of Ungoliant the Unlight.  Her poison is legendary, as is her ego.  She normally guards the pass through Cirith Ungol, but occasionally goes out foraging for food to feed her voracious appetite.	Шелоб - огромный ужасный паук, последний потомок Унголиант. Ее яд легендарен, как и ее самомнение. Она обычно охраняет проход через Кирит-Унгол, но иногда выходит поохотиться для удовлетворения своего ненасытного аппетита. `...Плохо они с хозяином знали Шелоб. Из ее логова был не один выход. Здесь жила она долгие века, порождение зла в виде паука, одно из тех чудовищ, что жили в земле эльфов на западе, которая сейчас затоплена морем. С таким чудовищами сражался Берен в Горах Ужаса в Дориате, перед тем, как встретился с Лучиэнью на зеленой лужайке, поросшей болиголовом и освещенной лунным светом, давным-давно. Как появилась здесь Шелоб, как спаслась, не говорят, потому что мало сказаний дошло от темных лет. Но она была здесь до Саурона и до первых камней Барад-дура; она не служила никому, только себе, пила кровь эльфов и людей, раздувалась и жирела от своих бесконечных пиров, плела повсюду свои сети.`
331	Ninja	ниндз$N1N	A humanoid clothed in black who moves with blinding speed.	Человек, одетый в черное, движущийся с ослепительной скоростью.
332	Memory moss	м*ох$N2A памяти	A mass of green vegetation.  You don`t remember seeing anything like it before.	Небольшая масса зеленой растительности. Вы не помните, видели ли вы что-то похожее.
333	Storm giant	штормов$AMU гигант$N2A	It is a twenty-five foot tall giant wreathed in lightning.	Двадцатипятифутовой гигант, одетый молнией, которую он играючи бросает в вас.
334	Cave troll	пещерн$AMT тролл*ь$N2E	He is a vicious monster, feared for his ferocity.	Злобный и яростный пещерный монстр.
335	Half-troll	полутролл*ь$N2E	A huge, ugly, half-human in search of plunder.	Огромный уродливый получеловек в поисках драки.
336	Mystic	мистик$N2A	An adept at unarmed combat, the mystic strikes with stunning power.  He can summon help from nature and is able to focus his power to ease any pain.	Адепт рукопашного боя, мистик бьет с оглушающей силой. Он может вызывать помощь из природы, и фокусировать свою силу, чтобы ослабить любую боль - свою, разумеется.
337	Barrow wight	могильн$ANT умертви*е$N2D	It is a ghostly nightmare of a entity.	Призрачный ночной кошмар из Могильников. Это существо, умершее, но не упокоившееся много веков назад, стремится сделать вас таким же, как оно.
338	Skeleton ettin	скелет$N2A эттина	It is the animated form of a massive two-headed troll.	Движущийся скелет большого двухголового тролля.
339	Chaos drake	дракон$N2A Хаоса	A dragon twisted by the forces of chaos.  It seems first ugly, then fair, as its form shimmers and changes in front of your eyes.	Дракон, управляемый силами Хаоса. Он кажется сначала уродливым, потом красивым, мерцая и меняя форму на ваших глазах. Вы завороженно смотрите на него, не в состоянии стряхнуть наваждение.
340	Law drake	дракон$N2A Порядка	This dragon is clever and cunning.  It laughs at your puny efforts to disturb it.	Этот дракон умен и хитер. Он смеется над вашими жалкими попытками нарушить Порядок.
