Text	Occurrence
"Danger(%d,%d,%d) is %d"	"src/borg/borg9.c:6332"
"(%d,%d of %d,%d) Regional Fear."	"src/borg/borg9.c:6368"
"(%d,%d of %d,%d) Monster Fear."	"src/borg/borg9.c:6415"
"Current Borg Power %ld"	"src/borg/borg9.c:6450"
"Current Home Power %ld"	"src/borg/borg9.c:6451"
"time: (%d) "	"src/borg/borg9.c:6460"
"; from town (%d)"	"src/borg/borg9.c:6462"
"; on this panel (%d)"	"src/borg/borg9.c:6463"
"; need inviso (%d)"	"src/borg/borg9.c:6464"
"Borg has Projectable to these places."	"src/borg/borg9.c:6489"
"Borg has Projectable Dark to these places."	"src/borg/borg9.c:6506"
"Borg has LOS to these places."	"src/borg/borg9.c:6523"
"Enter new Max Depth: "	"src/borg/borg9.c:6534"
"Enter new auto-stop dlevel: "	"src/borg/borg9.c:6552"
"Enter new auto-stop clevel: "	"src/borg/borg9.c:6553"
"Stop when Morgoth Dies? (y or n)? "	"src/borg/borg9.c:6554"
"money Scumming for %d, I need %d more."	"src/borg/borg9.c:6569"
"Enter new dollar amount for money scumming (0 for no scumming):"	"src/borg/borg9.c:6573"
"Max Level: %d  Prep'd For: %d  Reason: %s"	"src/borg/borg9.c:6605"
"You are ready for the big fight!!"	"src/borg/borg9.c:6609"
"You are NOT ready for the big fight!!"	"src/borg/borg9.c:6613"
"No readiness check done."	"src/borg/borg9.c:6617"
"stat # %d, is: %d"	"src/borg/borg9.c:6629"
"(%d) %d, %d (act:%d)"	"src/borg/borg9.c:6638"
"Swap Weapon:  %s, value= %d"	"src/borg/borg9.c:6669"
"Swap Armour:  %s, value= %d"	"src/borg/borg9.c:6671"
"[ Spells ]."	"src/borg/borg9.c:6693"
"Legal"	"src/borg/borg9.c:6704"
"Not Legal "	"src/borg/borg9.c:6704 src/borg/borg9.c:6709"
"legal"	"src/borg/borg9.c:6709"
"%s, %s, attempted %d times, fail rate:%d"	"src/borg/borg9.c:6712"
"Exam spell books.  Press any key for next book."	"src/borg/borg9.c:6715"
"Dynamic Borg Has What: ((i)nv/(w)orn/(a)rtifact/(s)kill) "	"src/borg/borg9.c:6733"
"Item%03d value= %d."	"src/borg/borg9.c:6780"
"WItem%03d value= %d."	"src/borg/borg9.c:6784"
"Artifact%03d value= %d."	"src/borg/borg9.c:6788"
"skill %d (%s) value= %d."	"src/borg/borg9.c:6791"
"Borg_has[] dump complete.  Examine Log. "	"src/borg/borg9.c:6801"
"APWBorg Version: %s"	"src/borg/borg9.c:6809"
"Which item?"	"src/borg/borg9.c:6822"
"Borg believes: "	"src/borg/borg9.c:6850"
"Are you sure you want to Respawn this borg? (y or n)? "	"src/borg/borg9.c:6864"
"Are you sure you want to Restock the stores? (y or n)? "	"src/borg/borg9.c:6879"
"Updating Shops..."	"src/borg/borg9.c:6884 src/dungeon.c:56"
"Borg has Glyph (%d)noted."	"src/borg/borg9.c:6910"
"That is not a legal Borg command."	"src/borg/borg9.c:6920"
"Hit any key to continue"	"src/cave.c:1379"
"Please wait..."	"src/cave.c:1388 src/dungeon.c:1679"
"unknown_grid"	"src/cave.c:3445"
"I see no up staircase here."	"src/cmd-cave.c:44"
"Nothing happens!"	"src/cmd-cave.c:50"
"You enter a maze of up staircases."	"src/cmd-cave.c:58"
"I see no down staircase here."	"src/cmd-cave.c:78"
"The dungeon does not appear to extend deeper"	"src/cmd-cave.c:84"
"Are you sure you want to descend?"	"src/cmd-cave.c:90"
"You enter a maze of down staircases."	"src/cmd-cave.c:101"
"You can't make out your surroundings well enough to search."	"src/cmd-cave.c:143"
"You have found a trap."	"src/cmd-cave.c:169"
"You have found a secret door."	"src/cmd-cave.c:181"
"You have discovered a trap on the chest!"	"src/cmd-cave.c:202"
"There are no secrets here."	"src/cmd-cave.c:218"
"You found nothing."	"src/cmd-cave.c:220"
"You see nothing there."	"src/cmd-cave.c:330 src/cmd-cave.c:525 src/cmd-cave.c:651 src/cmd-cave.c:952 src/cmd-pickup.c:429"
"You see nothing there to open."	"src/cmd-cave.c:335"
"You have picked the lock."	"src/cmd-cave.c:385 src/object/chest.c:411"
"You failed to pick the lock."	"src/cmd-cave.c:404 src/object/chest.c:422"
"There is a monster in the way!"	"src/cmd-cave.c:490 src/cmd-cave.c:624 src/cmd-cave.c:928 src/cmd-cave.c:1157"
"You see nothing there to close."	"src/cmd-cave.c:535"
"You see nothing there to tunnel."	"src/cmd-cave.c:661"
"You have finished the tunnel."	"src/cmd-cave.c:740 src/cmd-cave.c:791 src/cmd-cave.c:848 src/cmd-cave.c:869"
"You have found something!"	"src/cmd-cave.c:784 src/cmd-cave.c:830 src/spells1.c:1194"
"You have removed the rubble."	"src/cmd-cave.c:819"
"You dig in the rubble."	"src/cmd-cave.c:837"
"You tunnel into the door."	"src/cmd-cave.c:876"
"You see nothing there to disarm."	"src/cmd-cave.c:962"
"You lock the door."	"src/cmd-cave.c:1006"
"You failed to lock the door."	"src/cmd-cave.c:1013 src/cmd-cave.c:1020"
"You have disarmed the %s."	"src/cmd-cave.c:1072"
"You failed to disarm the %s."	"src/cmd-cave.c:1090"
"You set off the %s!"	"src/cmd-cave.c:1100"
"There is a pile of rubble in the way!"	"src/cmd-cave.c:1274"
"There is a wall in the way!"	"src/cmd-cave.c:1282"
"Rest (0-9999, '!' for HP or SP, '*' for HP and SP, '&' as needed): "	"src/cmd-cave.c:1476"
"& "	"src/cmd-cave.c:1478"
"Looks like any other level."	"src/cmd-cave.c:1524"
"you sense an item of wondrous power!"	"src/cmd-cave.c:1525"
"there are superb treasures here."	"src/cmd-cave.c:1526"
"there are excellent treasures here."	"src/cmd-cave.c:1527"
"there are very good treasures here."	"src/cmd-cave.c:1528"
"there are good treasures here."	"src/cmd-cave.c:1529"
"there may be something worthwhile here."	"src/cmd-cave.c:1530"
"there may not be much interesting here."	"src/cmd-cave.c:1531"
"there aren't many treasures here."	"src/cmd-cave.c:1532"
"there are only scraps of junk here."	"src/cmd-cave.c:1533"
"there are naught but cobwebs here."	"src/cmd-cave.c:1534"
"You are still uncertain about this place"	"src/cmd-cave.c:1547"
"Omens of death haunt this place"	"src/cmd-cave.c:1548"
"This place seems murderous"	"src/cmd-cave.c:1549"
"This place seems terribly dangerous"	"src/cmd-cave.c:1550"
"You feel anxious about this place"	"src/cmd-cave.c:1551"
"You feel nervous about this place"	"src/cmd-cave.c:1552"
"This place does not seem too risky"	"src/cmd-cave.c:1553"
"This place seems reasonably safe"	"src/cmd-cave.c:1554"
"This seems a tame, sheltered place"	"src/cmd-cave.c:1555"
"This seems a quiet, peaceful place"	"src/cmd-cave.c:1556"
"Looks like a typical town."	"src/cmd-cave.c:1576"
"You feel that %s"	"src/cmd-cave.c:1582"
"%s."	"src/cmd-cave.c:1588"
", yet"	"src/cmd-cave.c:1602"
", and"	"src/cmd-cave.c:1604 src/monster/mon-lore.c:1094"
"Knowledge"	"src/cmd-context.c:84"
"Show Map"	"src/cmd-context.c:85"
"^Show Messages"	"src/cmd-context.c:86"
"Show Monster List"	"src/cmd-context.c:87"
"Show Object List"	"src/cmd-context.c:88"
"Toggle Searching"	"src/cmd-context.c:90"
"Toggle Squelched"	"src/cmd-context.c:94"
"Squelch an item"	"src/cmd-context.c:96"
"Options"	"src/cmd-context.c:98 src/main-sdl.c:3406"
"Commands"	"src/cmd-context.c:99"
"(Enter to select, ESC) Command:"	"src/cmd-context.c:128 src/cmd-context.c:353 src/cmd-context.c:1043 src/cmd-process.c:593 src/cmd-process.c:650"
"Invalid context menu command."	"src/cmd-context.c:161 src/cmd-context.c:394 src/cmd-context.c:647 src/cmd-context.c:921"
"(Inventory) Burden %d.%d lb (%d.%d lb %s). Item for command: "	"src/cmd-context.c:232"
"overweight"	"src/cmd-context.c:235 src/cmd-know.c:447 src/object/obj-ui.c:240"
"remaining"	"src/cmd-context.c:235 src/cmd-know.c:447 src/object/obj-ui.c:240"
"Use"	"src/cmd-context.c:273 src/cmd-context.c:770 src/cmd-context.c:790"
"Cast"	"src/cmd-context.c:277 src/cmd-context.c:745"
"Go Up"	"src/cmd-context.c:282"
"Go Down"	"src/cmd-context.c:285"
"Search"	"src/cmd-context.c:288 src/cmd-context.c:527"
"Look"	"src/cmd-context.c:292"
"Rest"	"src/cmd-context.c:295"
"Inventory"	"src/cmd-context.c:298"
"Floor"	"src/cmd-context.c:307"
"Pick up"	"src/cmd-context.c:309 src/cmd-context.c:823"
"Character"	"src/cmd-context.c:314"
"^Center Map"	"src/cmd-context.c:321"
"Other"	"src/cmd-context.c:324 src/ui-knowledge.c:204"
"Target Selected."	"src/cmd-context.c:427 src/cmd-context.c:660 src/cmd-know.c:539 src/cmd-misc.c:230 src/cmd-process.c:773"
"Look At"	"src/cmd-context.c:474"
"Recall Info"	"src/cmd-context.c:478"
"Use Item On"	"src/cmd-context.c:481"
"Cast On"	"src/cmd-context.c:484"
"Attack"	"src/cmd-context.c:488"
"Alter"	"src/cmd-context.c:488"
"Disarm Chest"	"src/cmd-context.c:497"
"Open Chest"	"src/cmd-context.c:498 src/cmd-context.c:505"
"Open Disarmed Chest"	"src/cmd-context.c:501"
"Disarm"	"src/cmd-context.c:512"
"Jump Onto"	"src/cmd-context.c:513"
"Close"	"src/cmd-context.c:517"
"Open"	"src/cmd-context.c:520"
"Lock"	"src/cmd-context.c:521"
"Tunnel"	"src/cmd-context.c:524"
"Walk Towards"	"src/cmd-context.c:528 src/cmd-context.c:535"
"Pathfind To"	"src/cmd-context.c:533"
"Run Towards"	"src/cmd-context.c:536"
"Fire On"	"src/cmd-context.c:540"
"Throw To"	"src/cmd-context.c:543"
"(Enter to select command, ESC to cancel) You see something strange:"	"src/cmd-context.c:572"
"(Enter to select command, ESC to cancel) You see %s:"	"src/cmd-context.c:581 src/cmd-context.c:592"
"(Enter to select command, ESC to cancel) You see the entrance to the %s:"	"src/cmd-context.c:600"
"(Enter to select command, ESC to cancel) You see %s %s:"	"src/cmd-context.c:602"
"an"	"src/cmd-context.c:603 src/monster/mon-lore.c:1226"
"Inspect"	"src/cmd-context.c:741"
"Study"	"src/cmd-context.c:752"
"Browse"	"src/cmd-context.c:756"
"Aim"	"src/cmd-context.c:762"
"Zap"	"src/cmd-context.c:766"
"Read"	"src/cmd-context.c:774"
"Quaff"	"src/cmd-context.c:777"
"Eat"	"src/cmd-context.c:780"
"Activate"	"src/cmd-context.c:784"
"Refill"	"src/cmd-context.c:795"
"Take off"	"src/cmd-context.c:799"
"Equip"	"src/cmd-context.c:807"
"Drop"	"src/cmd-context.c:812"
"Drop All"	"src/cmd-context.c:817"
"Throw"	"src/cmd-context.c:826"
"Inscribe"	"src/cmd-context.c:827"
"Uninscribe"	"src/cmd-context.c:830"
"Unignore"	"src/cmd-context.c:833"
"Ignore"	"src/cmd-context.c:833"
"(Enter to select, ESC) Command for %s:"	"src/cmd-context.c:857 src/cmd-context.c:1151"
"Drop %s? "	"src/cmd-context.c:884"
"study"	"src/cmd-context.c:942 src/game-cmd.c:103 src/game-cmd.c:104 src/ui-spell.c:326 src/z-msg-list.h:17"
"cast"	"src/cmd-context.c:952 src/cmd-obj.c:949 src/game-cmd.c:105 src/ui-spell.c:345 src/ui-spell.c:370"
"recite"	"src/cmd-context.c:952 src/cmd-obj.c:949 src/ui-spell.c:345 src/ui-spell.c:370"
"Inspect Inventory"	"src/cmd-context.c:995"
"Stash"	"src/cmd-context.c:998"
"Examine"	"src/cmd-context.c:999 src/cmd-context.c:1007 src/cmd-context.c:1111"
"Take"	"src/cmd-context.c:1000 src/cmd-context.c:1113 src/store.c:2415"
"Take One"	"src/cmd-context.c:1002 src/cmd-context.c:1115"
"Sell"	"src/cmd-context.c:1006 src/store.c:2766"
"Buy"	"src/cmd-context.c:1008 src/cmd-context.c:1118 src/store.c:2415"
"Buy One"	"src/cmd-context.c:1010 src/cmd-context.c:1120"
"Exit"	"src/cmd-context.c:1013"
"['c' to change name, 'f' to file, 'h' to change mode, or ESC]"	"src/cmd-know.c:132"
"%s.txt"	"src/cmd-know.c:167 src/death.c:192 src/parser.c:639"
"Character dump failed!"	"src/cmd-know.c:172 src/death.c:205"
"Character dump successful."	"src/cmd-know.c:174 src/death.c:207"
"> %s"	"src/cmd-know.c:220"
"%s <%dx>"	"src/cmd-know.c:284 src/xtra3.c:1366"
"Message recall (%d-%d of %d), offset %d"	"src/cmd-know.c:312"
"[Movement keys to navigate, '-' for next, '=' to find]"	"src/cmd-know.c:316"
"[Movement keys to navigate, '=' to find, or ESCAPE to exit]"	"src/cmd-know.c:318"
"Find: "	"src/cmd-know.c:349 src/files.c:1528"
"You have nothing in your inventory."	"src/cmd-know.c:431"
"(Inventory) Burden %d.%d lb (%d.%d lb %s). Select Item: "	"src/cmd-know.c:444"
"You are not wielding or wearing anything."	"src/cmd-know.c:494"
"Select Item:"	"src/cmd-know.c:507"
"%s%s of"	"src/cmd-know.c:575"
" north"	"src/cmd-know.c:576"
" south"	"src/cmd-know.c:576"
" west"	"src/cmd-know.c:577"
" east"	"src/cmd-know.c:577"
"Map sector [%d,%d], which is%s your sector.  Direction?"	"src/cmd-know.c:582"
"Map sector [%d(%02d),%d(%02d)], which is%s your sector.  Direction?"	"src/cmd-know.c:589"
"Illegal direction for locate!"	"src/cmd-know.c:609"
"%c - %s."	"src/cmd-know.c:701 src/cmd-know.c:711 src/cmd-know.c:719"
"%c - Unknown Symbol."	"src/cmd-know.c:726"
"? - Unknown Symbol."	"src/cmd-know.c:728"
"Enter character to be identified, or control+[ANU]: "	"src/cmd-know.c:763"
"Full monster list."	"src/cmd-know.c:770"
"Unique monster list."	"src/cmd-know.c:775"
"Non-unique monster list."	"src/cmd-know.c:780"
"Recall details? (y/k/n): "	"src/cmd-know.c:822"
" [(r)ecall, ESC]\n"	"src/cmd-know.c:872"
"You are about to enter 'wizard' mode for the very first time!"	"src/cmd-misc.c:41"
"This is a form of cheating, and your game will not be scored!"	"src/cmd-misc.c:42"
"Are you sure you want to enter wizard mode? "	"src/cmd-misc.c:46"
"Wizard mode off."	"src/cmd-misc.c:57"
"Wizard mode on."	"src/cmd-misc.c:62"
"You are about to use the dangerous, unsupported, debug commands!"	"src/cmd-misc.c:86"
"Your machine may crash, and your savefile may become corrupted!"	"src/cmd-misc.c:87 src/cmd-misc.c:118"
"Are you sure you want to use the debug commands? "	"src/cmd-misc.c:91"
"You are about to use the dangerous, unsupported, borg commands!"	"src/cmd-misc.c:117"
"Are you sure you want to use the borg commands? "	"src/cmd-misc.c:122"
"Type '?' for help."	"src/cmd-misc.c:164"
"Quitting"	"src/cmd-misc.c:183 src/score.c:462"
"Do you want to retire? "	"src/cmd-misc.c:196"
"Do you really want to commit suicide? "	"src/cmd-misc.c:205"
"Please verify SUICIDE by typing the '@' sign: "	"src/cmd-misc.c:208"
"Target Aborted."	"src/cmd-misc.c:232"
"dwsorgbuDWvyRGBU"	"src/cmd-misc.c:246"
"dump.txt"	"src/cmd-misc.c:271 src/cmd-misc.c:359 src/cmd-misc.c:621"
"Screen dump loaded."	"src/cmd-misc.c:334"
"Screen dump saved."	"src/cmd-misc.c:422"
"Screen dump failed."	"src/cmd-misc.c:631"
"HTML screen dump saved."	"src/cmd-misc.c:653"
"Dump as (T)ext, (H)TML, or (F)orum text? "	"src/cmd-misc.c:664"
"thf"	"src/cmd-misc.c:664"
"You are playing %s.  Type '?' for more info."	"src/cmd-misc.c:682"
"Pref: "	"src/cmd-misc.c:697"
"Note: "	"src/cmd-misc.c:719"
"/say "	"src/cmd-misc.c:725"
"-- %s says: %s"	"src/cmd-misc.c:726"
"/me"	"src/cmd-misc.c:727"
"-- %s%s"	"src/cmd-misc.c:728"
"-- Note: %s"	"src/cmd-misc.c:730"
"zap the rod"	"src/cmd-obj.c:48"
"use the wand"	"src/cmd-obj.c:49"
"wand"	"src/cmd-obj.c:49 src/game-cmd.c:141 src/object/obj-util.c:3586"
"use the staff"	"src/cmd-obj.c:50"
"staff"	"src/cmd-obj.c:50 src/game-cmd.c:140 src/object/obj-util.c:3585"
"activate it"	"src/cmd-obj.c:51"
"You failed to %s properly."	"src/cmd-obj.c:61"
"The %s has no charges left."	"src/cmd-obj.c:69"
"name"	"src/cmd-obj.c:103 src/generate.c:303 src/init.c:342 src/init.c:446 src/init.c:566 src/init.c:690 src/init.c:791 src/init.c:935 src/init.c:1006 src/init.c:1190 src/init.c:1444 src/init.c:1639 src/init.c:1882 src/init.c:2158 src/init.c:2400 src/monster/mon-init.c:36 src/monster/mon-init.c:196 src/monster/mon-init.c:466 src/monster/mon-init.c:493 src/monster/mon-init.c:512 src/store.c:220 src/store.c:288"
"kind"	"src/cmd-obj.c:105"
"is"	"src/cmd-obj.c:109 src/cmd-obj.c:168 src/object/identify.c:1217 src/object/identify.c:1227 src/object/identify.c:1235 src/object/obj-util.c:2682 src/spells1.c:1595 src/spells2.c:2991"
"%.*s"	"src/cmd-obj.c:142 src/object/obj-desc.c:287 src/object/obj-desc.c:289"
"Inscription removed."	"src/cmd-obj.c:195"
"You are not wielding that item."	"src/cmd-obj.c:225"
"You cannot take off that item."	"src/cmd-obj.c:231"
"You are wielding %s (%c)."	"src/cmd-obj.c:334"
"You are shooting with %s (%c)."	"src/cmd-obj.c:336"
"Your light source is %s (%c)."	"src/cmd-obj.c:338"
"You combine %s in your quiver (%c)."	"src/cmd-obj.c:340"
"You add %s to your quiver (%c)."	"src/cmd-obj.c:342"
"You are wearing %s (%c)."	"src/cmd-obj.c:344"
"You do not have that item to wield."	"src/cmd-obj.c:389"
"You cannot wield that item there."	"src/cmd-obj.c:396"
"The %s you are %s appears to be cursed."	"src/cmd-obj.c:421"
"!t"	"src/cmd-obj.c:427"
"Really take off %s? "	"src/cmd-obj.c:435"
"You do not have that item to drop it."	"src/cmd-obj.c:450"
"Hmmm, it seems to be cursed."	"src/cmd-obj.c:457 src/store.c:2519 src/store.c:2639 src/store.c:2725"
"You do not have that item to ignore it."	"src/cmd-obj.c:473"
"You cannot ignore cursed items."	"src/cmd-obj.c:480"
"Ignoring %s."	"src/cmd-obj.c:485"
"That rod is still charging."	"src/cmd-obj.c:535"
"That wand has no charges."	"src/cmd-obj.c:547"
"That staff has no charges."	"src/cmd-obj.c:559"
"That item is still charging."	"src/cmd-obj.c:593"
"The item cannot be used at the moment"	"src/cmd-obj.c:608"
"You cannot use that item from its current location."	"src/cmd-obj.c:614"
"You have nothing to identify."	"src/cmd-obj.c:626 src/cmd-obj.c:972 src/spells2.c:1470"
"You activate it."	"src/cmd-obj.c:649"
"You fuel your lamp."	"src/cmd-obj.c:781"
"Your lamp is full."	"src/cmd-obj.c:787"
"You do not have that item to refill with it."	"src/cmd-obj.c:873"
"You are not wielding a light."	"src/cmd-obj.c:881"
"Your light cannot be refilled."	"src/cmd-obj.c:884 src/cmd-obj.c:889"
"You cannot learn that spell."	"src/cmd-obj.c:931"
"spell"	"src/cmd-obj.c:950 src/cmd-obj.c:1016 src/init.c:1736 src/init.c:2199 src/init.c:2248 src/player/calcs.c:940 src/player/p-util.c:104 src/player/spell.c:304 src/ui-spell.c:258 src/ui-spell.c:277"
"prayer"	"src/cmd-obj.c:950 src/cmd-obj.c:1016 src/player/calcs.c:940 src/player/p-util.c:104 src/player/spell.c:304 src/ui-spell.c:258 src/ui-spell.c:277"
"You do not have enough mana to %s this %s."	"src/cmd-obj.c:980"
"Attempt it anyway? "	"src/cmd-obj.c:986"
"You cannot %s that %s."	"src/cmd-obj.c:996"
"You cannot learn any %ss in that book."	"src/cmd-obj.c:1040"
"This item only"	"src/cmd-obj.c:1078"
"Unignore this item"	"src/cmd-obj.c:1080"
"All %s"	"src/cmd-obj.c:1092"
"Unignore all %s"	"src/cmd-obj.c:1095"
"All %s %s"	"src/cmd-obj.c:1111"
"(Enter to select, ESC) Ignore:"	"src/cmd-obj.c:1128"
"Ignore which item? "	"src/cmd-obj.c:1159"
"You have nothing to ignore."	"src/cmd-obj.c:1160"
"Examine which item?"	"src/cmd-obj.c:1186"
"You have nothing to examine."	"src/cmd-obj.c:1186 src/death.c:334"
"You have found %ld gold pieces worth of "	"src/cmd-pickup.c:126"
","	"src/cmd-pickup.c:154 src/monster/mon-lore.c:867 src/monster/mon-lore.c:902 src/ui-knowledge.c:169"
" and"	"src/cmd-pickup.c:157"
"."	"src/cmd-pickup.c:161 src/monster/mon-list.c:343 src/object/obj-list.c:428 src/z-file.c:765 src/config.h:39 src/config.h:43 src/config.h:47"
"=g"	"src/cmd-pickup.c:192"
"You have %s (%c)."	"src/cmd-pickup.c:250 src/object/obj-util.c:2366 src/store.c:2240 src/store.c:2333"
"Get which item?"	"src/cmd-pickup.c:428"
"You feel a pile of rubble blocking your way."	"src/cmd-pickup.c:522"
"You feel a door blocking your way."	"src/cmd-pickup.c:530"
"You feel a wall blocking your way."	"src/cmd-pickup.c:538"
"There is a pile of rubble blocking your way."	"src/cmd-pickup.c:548"
"There is a door blocking your way."	"src/cmd-pickup.c:550"
"There is a wall blocking your way."	"src/cmd-pickup.c:552"
"You found a trap!"	"src/cmd-pickup.c:609"
"Inscribe an object"	"src/cmd-process.c:60"
"Uninscribe an object"	"src/cmd-process.c:61"
"Wear/wield an item"	"src/cmd-process.c:62"
"Take off/unwield an item"	"src/cmd-process.c:63"
"Examine an item"	"src/cmd-process.c:64"
"Drop an item"	"src/cmd-process.c:65"
"Fire your missile weapon"	"src/cmd-process.c:66"
"Use a staff"	"src/cmd-process.c:67"
"Aim a wand"	"src/cmd-process.c:68"
"Zap a rod"	"src/cmd-process.c:69"
"Activate an object"	"src/cmd-process.c:70"
"Eat some food"	"src/cmd-process.c:71"
"Quaff a potion"	"src/cmd-process.c:72"
"Read a scroll"	"src/cmd-process.c:73"
"Fuel your light source"	"src/cmd-process.c:74"
"Use an item"	"src/cmd-process.c:75"
"Search for traps/doors"	"src/cmd-process.c:81"
"Disarm a trap or chest"	"src/cmd-process.c:82"
"Rest for a while"	"src/cmd-process.c:83"
"Look around"	"src/cmd-process.c:84"
"Target monster or location"	"src/cmd-process.c:85"
"Target closest monster"	"src/cmd-process.c:86"
"Dig a tunnel"	"src/cmd-process.c:87"
"Go up staircase"	"src/cmd-process.c:88"
"Go down staircase"	"src/cmd-process.c:89"
"Toggle search mode"	"src/cmd-process.c:90"
"Open a door or a chest"	"src/cmd-process.c:91"
"Close a door"	"src/cmd-process.c:92"
"Fire at nearest target"	"src/cmd-process.c:93"
"Throw an item"	"src/cmd-process.c:94"
"Walk into a trap"	"src/cmd-process.c:95"
"Display equipment listing"	"src/cmd-process.c:101"
"Display inventory listing"	"src/cmd-process.c:102"
"Pick up objects"	"src/cmd-process.c:103"
"Destroy an item"	"src/cmd-process.c:104"
"Browse a book"	"src/cmd-process.c:110"
"Gain new spells"	"src/cmd-process.c:111"
"Cast a spell"	"src/cmd-process.c:112 src/cmd-process.c:113"
"Full dungeon map"	"src/cmd-process.c:114"
"Toggle ignoring of items"	"src/cmd-process.c:115"
"Display visible item list"	"src/cmd-process.c:116"
"Display visible monster list"	"src/cmd-process.c:117"
"Locate player on map"	"src/cmd-process.c:118"
"Help"	"src/cmd-process.c:119 src/ui-event.c:52"
"Identify symbol"	"src/cmd-process.c:120"
"Character description"	"src/cmd-process.c:121"
"Check knowledge"	"src/cmd-process.c:122"
"Repeat level feeling"	"src/cmd-process.c:123"
"Show previous message"	"src/cmd-process.c:124"
"Show previous messages"	"src/cmd-process.c:125"
"Interact with options"	"src/cmd-process.c:131"
"Save and don't quit"	"src/cmd-process.c:133"
"Save and quit"	"src/cmd-process.c:134"
"Quit (commit suicide)"	"src/cmd-process.c:135"
"Redraw the screen"	"src/cmd-process.c:136"
"Load screen dump"	"src/cmd-process.c:138"
"Save screen dump"	"src/cmd-process.c:139"
"Take notes"	"src/cmd-process.c:145"
"Version info"	"src/cmd-process.c:146"
"Load a single pref line"	"src/cmd-process.c:147"
"Enter a store"	"src/cmd-process.c:148"
"Toggle windows"	"src/cmd-process.c:149"
"Alter a grid"	"src/cmd-process.c:150"
"Walk"	"src/cmd-process.c:151"
"Start running"	"src/cmd-process.c:152"
"Stand still"	"src/cmd-process.c:153"
"Center map"	"src/cmd-process.c:154"
"Toggle wizard mode"	"src/cmd-process.c:156"
"Repeat previous command"	"src/cmd-process.c:157"
"Do autopickup"	"src/cmd-process.c:158"
"Debug mode commands"	"src/cmd-process.c:161"
"Borg commands"	"src/cmd-process.c:164"
"Items"	"src/cmd-process.c:182"
"Action commands"	"src/cmd-process.c:183"
"Manage items"	"src/cmd-process.c:184"
"Information"	"src/cmd-process.c:185 src/death.c:388"
"Utility"	"src/cmd-process.c:186"
"Hidden"	"src/cmd-process.c:187"
"Repeat: %d"	"src/cmd-process.c:389"
"Invalid repeat count!"	"src/cmd-process.c:406"
"Command: "	"src/cmd-process.c:474 src/cmd-process.c:483"
"Control: "	"src/cmd-process.c:490"
"%s (%s)"	"src/cmd-process.c:565 src/generate.c:2280"
"Item"	"src/cmd-process.c:619"
"Action"	"src/cmd-process.c:620"
"Item Management"	"src/cmd-process.c:621"
"Info"	"src/cmd-process.c:622"
"Util"	"src/cmd-process.c:623"
"Misc"	"src/cmd-process.c:624"
"^*"	"src/cmd-process.c:844 src/cmd-process.c:854"
"Are you sure? "	"src/cmd-process.c:858"
"dead.txt"	"src/death.c:71"
"the"	"src/death.c:85"
"Magnificent"	"src/death.c:87"
"Level: %d"	"src/death.c:94"
"Exp: %d"	"src/death.c:95"
"AU: %d"	"src/death.c:96"
"Killed on Level %d"	"src/death.c:97"
"by %s."	"src/death.c:98"
"by %-.24s"	"src/death.c:102"
"crown.txt"	"src/death.c:156"
"All Hail the Mighty %s!"	"src/death.c:177"
"Hit any key to see more information: "	"src/death.c:230"
"You are using: -more-"	"src/death.c:243"
"You are carrying: -more-"	"src/death.c:252"
"%c) "	"src/death.c:279 src/object/obj-ui.c:189 src/object/obj-ui.c:260 src/object/obj-ui.c:341 src/object/obj-ui.c:394 src/ui-menu.c:454"
"Your home contains (page %d): -more-"	"src/death.c:294"
"Examine which item? "	"src/death.c:333"
"Keep randarts for next game? "	"src/death.c:376"
"You are not playing with randarts!"	"src/death.c:378"
"Messages"	"src/death.c:389"
"File dump"	"src/death.c:390"
"View scores"	"src/death.c:391"
"Examine items"	"src/death.c:392"
"History"	"src/death.c:393"
"Spoilers"	"src/death.c:394"
"Keep randarts"	"src/death.c:395"
"Quit"	"src/death.c:396 src/main-sdl.c:3416"
"Ripe Old Age"	"src/death.c:414"
"Do you want to quit? "	"src/death.c:449"
"death save failed!"	"src/death.c:458"
"Shuffling a Shopkeeper..."	"src/dungeon.c:75"
"Done."	"src/dungeon.c:89 src/wizard.c:1537 src/wizard.c:1871 src/wizard.c:2000"
"Your %s have recharged."	"src/dungeon.c:288"
"One of your %s has recharged."	"src/dungeon.c:289"
"The %s has recharged."	"src/dungeon.c:295"
"Your %s has recharged."	"src/dungeon.c:299"
"The sun has risen."	"src/dungeon.c:521"
"The sun has fallen."	"src/dungeon.c:525"
"poison"	"src/dungeon.c:562 src/object/obj-info.c:120 src/list-gf-types.h:40 src/monster/list-blow-effects.h:12 src/monster/list-mon-flags.h:95 src/monster/list-mon-spells.h:40 src/monster/list-mon-spells.h:64 src/monster/list-mon-spells.h:80 src/object/list-slays.h:32"
"a fatal wound"	"src/dungeon.c:581"
"You faint from the lack of food."	"src/dungeon.c:613"
"Your light has gone out!"	"src/dungeon.c:731"
"Your light is growing faint."	"src/dungeon.c:743"
"You feel yourself yanked upwards!"	"src/dungeon.c:797"
"You feel yourself yanked downwards!"	"src/dungeon.c:802"
"The floor opens beneath you!"	"src/dungeon.c:838"
"You are thrown back in an explosion!"	"src/dungeon.c:842"
"Cancelled."	"src/dungeon.c:971"
"user.prf"	"src/dungeon.c:1507"
