Original text	Translation
"Experience: "	"Опыт: "
"Exp:%ld\n"	"Опы:%ld\n"
"Exp: %ld"	"Опыт: %ld"
" (Explosion Device)"	" (взрывчатое устройство)"
"Explosion"	"Взрыв"
"Exp "	"Опыт"
"EXP "	"ОПЫТ"
" extremely"	" крайне"
"Failed to create saver window"	"Не удалось создать окно заставки"
"Failed to create sub-window"	"Не удалось создать подокно"
"Failed to create %s window"	"Не удалось создать окно %s"
"Failed to load '%s'!"	"Не удалось загрузить '%s'!"
"Failed!"	"Не удалось!"
"Fair"	"Средне"
" falls asleep!"	" засыпает!"
"Fast (+%d)"	"Быст (+%d)"
"F:Dragon Fly"	"F:Стрекоза"
"fear"	"страху"
" Fear:"	" Стрх:"
"Feath:"	"М.Пад:"
"Female"	"Женский"
"f:Feline"	"f:Кошка"
"fiery"	"Огненная"
"Fighting"	"Сражение"
"Fight"	"Бой"
"File name: "	"Имя файла: "
"File: "	"Файл: "
"Final Offer"	"Последнее предложение"
"Find Hidden Traps/Doors"	"Поиск Ловушек/Дверей"
"Find Traps"	"Поиск Ловушек"
"Find: "	"Найти: "
"Fine."	"Прекрасно."
"fire a missile"	"стрелять снарядами"
"fire an arrow"	"стрелять из лука"
"fire arrows"	"стрелять из большого лука"
"fire ball (72)"	"огненного шара (72)"
"Fire Ball"	"Огненный Шар"
"fire bolt (9d8)"	"огненной стрелы (9d8)"
"Fire Bolt"	"Огненная Стрела"
"fire branding of bolts"	"огненного клейма болтов"
"fire missiles"	"стрелять большими снарядами"
"Fire which item? "	"Выстрелить каким предметом? "
"fire"	"огнем"
" Fire:"	" Огон:"
".:Floor"	".:Пол"
"Floor:"	"Пол:"
"Flush input on various failures"	"Сбрасывать ввод при ошибках"
"Flush input whenever disturbed"	"Сбрасывать ввод при беспокойстве"
"Flush output after various things"	"Сбрасывать вывод после различных действий"
"Flush output before every command"	"Сбрасывать вывод после каждой команды"
",:Food (or mushroom patch)"	",:Еда или грибы"
"Food"	"Еда"
"' for a random menu item, '"	"' для случайного выбора, '"
" for a%s %lu%s level character.  "	" для героя %lu уровня.  "
"force"	"силой"
" / for Equip,"	" / для экипировки,"
" - for floor,"	" - для пола,"
" forgotten"	" забыто"
"' for help, or '"	"' - справка, '"
" / for Inven,"	" / для инвен.,"
"' for the birth options, '"	"' - опции рождения, '"
"Found a keymap."	"Найдена карта клавиш."
"Found a macro."	"Найден макрос."
"Found no keymap."	"Карт клавиш не найдено."
"Found no macro."	"Макросов не найдено."
"FrAct:"	"Парал:"
"freeze"	"замораживания"
"  Freq"	" Част."
"frightened"	"напуган%s"
"(from position %d)"	"(с %d места)"
"frost ball (100)"	"ледяного шара (100)"
"frost ball (48)"	"ледяного шара (48)"
"Frost Ball"	"Ледяной Шар"
"frost bolt (12d8)"	"ледяной стрелы (12d8)"
"frost bolt (6d8)"	"ледяной стрелы (6d8)"
"Frost Bolt"	"Ледяная Стрела"
"frosty"	"Холодная"
"frost"	"холодом"
"Full monster list."	"Полный список монстров."
"Full  "	"Сытый "
"Game-Play Options"	"Игра"
" (Gas Trap)"	" (газовая ловушка)"
"gazes at you."	"смотрит на вас."
"gaze"	"пристально смотреть"
"Generate dungeons with aligned rooms"	"Подземелья с выровненными комнатами"
"Generate dungeons with connected stairs"	"Подземелья с соединенными лестницами"
"generic"	"неизвестная ошибка"
"get perfect (or even high) values for all your stats."	"идеального (и даже просто высокого) уровня для всех показателей!"
"Get which item? "	"Поднять какой предмет? "
"G:Ghost"	"G:Привидение"
"g:Golem"	"g:Голем"
"giants"	"гигантов"
" giant"	" гигант"
"gives you the finger!"	"показывает вам палец!"
"Gloves"	"Перчатки"
"Glyph of Warding"	"Руна Охраны"
"Gold Remaining: "	"Осталось золота: "
"Gold "	"золот"
"Gold: "	"Золото: "
"Gold"	"Золото"
" gold "	" золотых "
" good"	" хороший"
"good"	"хороший"
"Good"	"Хорошо"
"Gorged"	"Объелс"
"Goto File: "	"Перейти к файлу: "
"Goto Line: "	"Перейти к строке: "
"Gravity warps around you."	"Гравитация вокруг вас искривляется."
"gravity"	"гравитацией"
"Graze       "	"Царапина    "
"Greater Recharging"	"Большая Перезарядка"
"Green"	"Зеленый"
"'Grond'"	"'Гронд'"
"Hafted Weapons"	"Тупое оружие"
"hale"	"здоровым"
"[:Hard armor"	"[:Твердые доспехи"
"haste self (20+d20 turns)"	"ускорения (20+d20 ходов)"
"haste self (75+d75 turns)"	"ускорения (75+d75 ходов)"
"Haste Self"	"Ускорение"
"haste-self"	"ускоряют"
"heal (1000)"	"исцеления (1000)"
" heal 1000"	" леч. 1000"
" heal 2000"	" леч. 2000"
" heal 2d10"	" леч. 2d10"
" heal 2d8"	" леч. 2d8"
" heal 300"	" леч. 300"
" heal 4d10"	" леч. 4d10"
"heal (500)"	"исцеления (500)"
" heal 6d10"	" леч. 6d10"
" heal 8d10"	" леч. 8d10"
"Healing"	"Исцеление"
"heal-self"	"лечат"
"healthy"	"здоровым"
"Heal"	"Исцеление"
"Heavy stun  "	"Тяж. оглушен"
"Height"	"Рост"
"Helms/Crowns"	"Шлемы/Короны"
"Help file '%s'"	"Справочный файл '%s'"
"Heroic"	"Идеально"
"Heroism"	"Героизм"
"herself"	"себя"
"her"	"ней"
"he"	"он"
"(H) Hitpoint Warning"	"(H) Предупреждение о низком здоровье"
"h:Hobbit/Elf/Dwarf"	"h:Хоббит/Эльф/Гном"
"H:Hybrid"	"H:Гибрид"
"Hide player symbol when running"	"Скрывать символ героя при беге"
"Hilite the player with the cursor"	"Устанавливать курсор на героя"
"himself"	"себя"
"him"	"нему"
"his"	"его"
"Hit any key to continue"	"Нажмите любую клавишу"
"Hit any key to see more information (ESC to abort): "	"Нажмите любую клавишу для дальнейшей информации (ESC для выхода): "
"Hit die: %d "	"Здоровье   : %d "
"(Hit ESC to stop)"	"(ESC для остановки)"
"hits you."	"бьет вас."
"hit"	"бить"
"HLife:"	"ВЖизн:"
"Hmmm, it seems to be cursed."	"Хм. Похоже, этот предмет проклят."
"& Holy Book~ of Prayers #"	"& молитвенник$N2A #"
"Holy Word"	"Священное Слово"
"  [Home Inventory]\n\n"	"  [Домашний инвентарь]\n\n"
"Hp:%dd%d  "	"Зд:%dd%d  "
"Hp:%d  "	"Зд:%d  "
"HP"	"Здор."
"humiliates you!"	"смеется над вами!"
"Hungry"	"Голодн"
"I am currently out of stock."	"У меня ничего нет."
"I came, I saw, I conquered!"	"Пришел, увидел, победил!"
"Ice Storm"	"Ледяной Шторм"
"Identify which item? "	"Идентифицировать какой предмет? "
"identify"	"идентификации"
"Identify"	"Идентификация"
"I don't see any traps."	"Вы не видите здесь ловушек."
"Ignoring illegal dungeon depth (%d)"	"Неправильная глубина (%d)"
"Ignoring illegal dungeon size (%d,%d)."	"Неправильный размер подземелья (%d,%d)."
"Ignoring illegal player location (%d,%d)."	"Неправильное местоположение игрока (%d,%d)."
"I have not the room in my store to keep it."	"У меня не хватит места в магазине."
"i:Icky Thing"	"i:Скользкое существо"
"I:Insect"	"I:Насекомое"
"Illegal aim direction!"	"Неправильное направление!"
"Illegal auto-roller command!"	"Неправильная команда автороллера!"
"Illegal command for change name!"	"Неправильная команда!"
"Illegal command for knowledge!"	"Неправильная команда!"
"Illegal command for macros!"	"Неправильная команда!"
"Illegal command for normal options!"	"Неправильная команда!"
"Illegal command for options!"	"Неправильная команда!"
"Illegal command for spoilers!"	"Неправильная команда!"
"Illegal command for target mode!"	"Неправильная команда!"
"Illegal command for window options!"	"Неправильная команда!"
"Illegal control char (0x%02X) in player name"	"Неправильный символ (0x%02X) в имени героя"
"Illegal delay factor!"	"Неправильная команда!"
"Illegal direction for locate!"	"Неправильное направление!"
"Illegal edit key!"	"Неправильная клавиша!"
"Illegal hitpoint warning!"	"Неправильная команда!"
"Illegal object choice (default)!"	"Неправильный выбор предмета!"
"Illegal object choice (equip)!"	"Неправильный выбор предмета!"
"Illegal object choice (floor)!"	"Неправильный выбор предмета!"
"Illegal object choice (inven)!"	"Неправильный выбор предмета!"
"Illegal object choice (normal)!"	"Неправильный выбор предмета!"
"Illegal object choice (tag)!"	"Неправильный выбор предмета!"
"Illegal repeatable direction!"	"Неправильное направление!"
"Illegal response to a 'more' prompt!"	"Неправильный ответ на запрос -далее-!"
"Illegal response to a 'yes/no' question!"	"Неправильный ответ!"
"Illegal response to question!"	"Неправильный ответ!"
"Illegal spell choice!"	"Неправильное заклинание!"
"Illegal store object choice!"	"Неправильный выбор!"
"Illegal store owner!"	"Неправильный продавец!"
"Illegal target!"	"Неправильная цель!"
"illumination"	"освещения"
"immunity to paralysis"	"иммунитет к параличу"
"I'm sorry, I missed that."	"Простите, я не вполне вас понял."
"I'm sorry, what was that?"	"Повторите, я плохо вас расслышал."
"I must have heard you wrong."	"Извините?"
"Incompatible random artifacts version!"	"Несовместимая версия случайных артефактов!"
" incredibly"	" невероятно"
"indestructible"	"неразрушимый"
"induces random teleportation"	"вызывает случайную телепортацию"
"inertia"	"инерцией"
"Info file '%s'"	"Информационный файл '%s'"
"[(i)nformation, (m)essages, (f)ile dump, (v)iew scores, e(x)amine item, ESC]"	"[(i)информация, (m)сообщения, (f)файл, (v)рекорды, (x)изучить предмет, ESC]"
"Infravision: %d ft "	"Инфразрение: %d фт "
"infravision"	"способность к инфразрению"
"Infra:"	"Инфра:"
"Infra"	"Инфра"
"[Initialization complete]"	"[Запуск... (сделано)]"
"[Initializing arrays... (alloc)]"	"[Запуск... (память)]"
"[Initializing arrays... (artifacts)]"	"[Загрузка... (артефакты)]"
"[Initializing arrays... (classes)]"	"[Загрузка... (классы)]"
"[Initializing arrays... (ego-items)]"	"[Загрузка... (эго-предметы)]"
"[Initializing arrays... (features)]"	"[Загрузка... (ландшафт)]"
"[Initializing arrays... (flavors)]"	"Загрузка... (цвета)]"
"[Initializing arrays... (histories)]"	"[Загрузка... (история)]"
"[Initializing array sizes...]"	"[Загрузка размеров массивов...]"
"[Initializing arrays... (monsters)]"	"[Загрузка... (монстры)]"
"[Initializing arrays... (objects)]"	"[Загрузка... (предметы)]"
"[Initializing arrays... (other)]"	"[Запуск... (прочее)]"
"[Initializing arrays... (owners)]"	"[Загрузка... (продавцы)]"
"[Initializing arrays... (prices)]"	"[Загрузка... (цены)]"
"[Initializing arrays... (races)]"	"[Загрузка... (расы)]"
"[Initializing arrays... (vaults)]"	"[Загрузка... (лабиринты)]"
"[Initializing scripts... (scripts)]"	"[Запуск... (скрипты)]"
"In pack"	"В рюкзаке"
"Inscribe which item? "	"Надписать какой предмет? "
"Inscribing %s."	"Надписывается %s."
"Inscription removed."	"Надпись стерта."
"Inscription: "	"Надпись: "
"insults your mother!"	"оскорбляет вашу маму!"
"insults you!"	"оскорбляет вас!"
"insult"	"оскорблять"
"intelligence"	"интеллект"
" intelligently"	" мастерски"
"Interact with Colors"	"Работа с цветами"
"Interact with Macros"	"Работа с макросами"
"Interact with Visuals"	"Работа с визуальными определениями"
"Interrupting"	"прерыванием"
"Int: "	"Инт: "
"INT: "	"ИНТ: "
"Invalid checksum"	"Несовпадение контрольной суммы!"
"Invalid encoded checksum"	"Несовпадение кодированной контрольной суммы!"
"Invalid monster index"	"Неправильный индекс монстра"
"Invalid player class (%d)."	"Неправильный класс (%d)."
"Invalid player level (%d)."	"Неправильный уровень игрока (%d)."
"Invalid player race (%d)."	"Неправильная раса (%d)."
"Invalid repeat count!"	"Неправильное количество!"
"Invalid response."	"Неправильный ответ."
"Invalid timestamp"	"неправильное время"
"(Inventory) Command: "	"(Инвентарь) Команда: "
"Inven:"	"Инвен:"
"Invis:"	"Невид:"
"invoke darkness storms"	"вызывают штормы тьмы"
"invoke mana storms"	"вызывают штормы маны"
"In your pack: %s (%c)."	"В рюкзаке: %s (%c)."
"in "	"в: "
"is blessed by the gods"	"имеет Божье благословление"
"is cursed"	"обладает проклятьем"
" is dazed."	" оглушен%s."
" is destroyed."	" уничтожено."
"I see no down staircase here."	"Здесь нет лестницы вниз."
"I see no up staircase here."	"Здесь нет лестницы вверх."
"is ever vigilant for"	"вечно в поисках"
"is fairly observant of"	"довольно быстро находит"
" is found "	" встречается "
"is heavily cursed"	"обладает тяжелым проклятьем"
" is hit hard."	" серьезно задет%s."
" is hurt by "	" уязвим%s "
" is immune."	" неуязвим%s к атаке."
" is more dazed."	" оглушен%s сильнее."
" is normally found "	" обычно встречается "
"is observant of"	"быстро находит"
"is permanently cursed"	"обладает неснимаемым проклятьем"
" is unaffected!"	" не воздействован%s!"
"is very observant of"	"очень быстро находит"
"is vigilant for"	"часто в поисках"
" is worth %ld.%02ld point%s"	" стоит %ld.%02ld очков опыта"
"It activates for "	"%s активируется для "
"It cannot be harmed by "	"%s не поврежда%cтся "
"It cannot be harmed by the elements.  "	"%s не поврежда%cтся элементами.  "
"Item Description"	"Предмет"
"(Items %c-%c, ESC to exit) %s"	"(Предметы %c-%c, ESC для выхода) %s"
"It grants you "	"%s дает вам "
"I think I'll retire!"	"Продавец издевается над вами!"
"It is branded with "	"%s заклеймен%s "
"It is especially deadly against "	"%s особенно смертел%s против "
"It is "	"Он находится "
"It might have hidden powers."	"%s может имень скрытые возможности."
"It provides immunity to "	"%s предоставляет иммунитет к "
"It provides resistance to "	"%s предоставляет сопротивление к "
"It "	"%s "
"It %s all your stats"	"%s %s все ваши показатели"
"itself"	"себя"
"It slays "	"%s истребля%cт "
"It sustains all your stats.  "	"%s закрепляет все ваши показатели.  "
"It sustains your "	"%s закрепляет ваш%s "
"It %s your "	"%s %s ваш%s "
"its"	"его"
"It was a good hit!"	"Хороший удар!"
"It was a great hit!"	"Отличный удар!"
"It was a *GREAT* hit!"	"*ОТЛИЧНЫЙ* удар!"
"It was a superb hit!"	"Превосходный удар!"
"It was a *SUPERB* hit!"	"*ПРЕВОСХОДНЫЙ* удар!"
"It whines, glows and fades..."	"Он%s светится и затухает..."
"it"	"оно"
"j:Jelly"	"j:Желе"
"J:Snake"	"J:Змея"
"Just holding"	"Едва подняли"
"just holding"	"едва смогли поднять"
"Just lifting"	"Едва подняли"
"just lifting"	"едва смогли поднять"
"Keypress: "	"Кнопка: "
"kicks you."	"пинает вас."
"kick"	"пинать"
"Kill counts"	"Уничтоженные существа"
"               Killed by %s in the town"	"               Убит %s в городе"
"               Killed by %s on dungeon level %d"	"               Убит %s на уровне %d"
"Killed on Level %d"	"Убит на уровне %d"
"Killing"	"Убийство этого существа"
"King"	"Король"
"K:Killer Beetle"	"K:Жучок"
"k:Kobold"	"k:Кобольд"
"Knocked out "	"Без сознания"
"Known Objects"	"Известные предметы"
"Known (or lost) artifacts"	"Известные (или утерянные) артефакты"
"large fire ball (120)"	"большого огненного шара (120)"
"large frost ball (200)"	"большого ледяного шара (200)"
"large lightning ball (250)"	"большой шаровой молнии (250)"
"  [Last Messages]\n\n"	"  [Последниее сообщения]\n\n"
"%ld coins were stolen!"	"%ld монет было украдено!"
"%ld.%ld lbs"	"%ld.%ld фнт"
"Legendary"	"Легендарно"
"Lesser Recharging"	"Малая Перезарядка"
"Lev %d"	"Ур %d"
"Lev:%d  "	"Ур.:%d  "
"Lev %d"	"Уров. %d"
"Level: %d"	"Уровень: %d"
"Level"	"Уров."
"Level "	"Уровень"
"Level"	"Уровень"
"LEVEL "	"УРОВЕНЬ"
"life draining"	"высасыванию жизни"
"Light Area"	"Освещение"
"Light Blue"	"Светло-синий"
"Light cut   "	"Легкие раны "
"Light Dark"	"Светло-черный"
"Light Green"	"Светло-зеленый"
"lightning bolt (4d8)"	"удара молнией (4d8)"
"Lightning Bolt"	"Удар Молнии"
"lightning"	"молнией"
"Light Red"	"Светло-красный"
"Light Slate"	"Светло-серый"
"Light Sources"	"Свет"
"Light source"	"Свет"
"lights the dungeon around you"	"освещает подземелье вокруг вас"
"Light Umber"	"Светло-коричневый"
"light"	"светом"
" Limit"	"Предел"
" Lite:"	" Свет:"
" lives in the town"	" живет в городе"
"L:Lich"	"L:Лич"
"(L) Load a user pref file"	"(L) Загрузить пользовательский prf-файл"
" l) Look at an item."	" l) Посмотреть на предмет"
"l:Louse"	"l:Вошь"
"Loaded Artifacts"	"Загружены артефакты"
"Loaded extra information"	"Загружена дополнительная информация"
"Loaded Messages"	"Загружены сообщения"
"Loaded Monster Memory"	"Загружена память монстров"
"Loaded Object Memory"	"Загружена память предметов"
"Loaded Option Flags"	"Загружены опции"
"Loaded Quests"	"Загружены специальные квесты"
"Loaded Random Artifacts"	"Загружены случайные артефакты"
"Loaded Randomizer Info"	"Загружен генератор случайных чисел"
"Loaded '%s'."	"Загружен '%s'."
"Loading a %d.%d.%d savefile..."	"Загрузка сохраненной игры версии %d.%d.%d..."
"[Loading basic user pref file...]"	"[Запуск... (загрузка настроек)]"
" (Locked)"	" (запертый)"
" looks confused."	" контужен%s."
" looks healthier."	" выглядит здоровее."
"Looks like any other level."	"Похоже на любой другой уровень."
"Looks like a typical town."	"Похоже на обычный город."
" looks more confused."	" контужен%s сильнее."
" loses some skin!"	" теряет части тела!"
"lower experience"	"снижения опыта"
"Low hitpoint warning!"	"Низкое здоровье!"
"*** LOW HITPOINT WARNING! ***"	"*** НИЗКОЕ ЗДОРОВЬЕ! ***"
"Lv Mana Fail Info"	"Ур Мана Сбой Инфо"
" magical, casting spells"	" колдовать заклинания"
"magical"	"Волшебная"
"Magic Device"	"Магич. вещи"
"magic mapping"	"волшебной картографии"
"magic missile (2d6)"	"волшебной стрелы (2d6)"
"Magic Missile"	"Волшебная Стрела"
"Magnificent"	"Великий"
"main window does not exist"	"основное окно не существует"
"main window is too small"	"основное окно слишком мало"
"makes obscene gestures!"	"показывает вам кукиш!!!"
"makes you fall like a feather"	"заставляет вас падать медленнее"
"Male"	"Мужской"
"mana bolt (12d8)"	"стрелы маны (12d8)"
"Mana Storm"	"Шторм Маны"
"mana"	"маной"
"Map remembers all perma-lit grids"	"Карта помнит постоянно освещенные клетки"
"Map remembers all torch-lit grids"	"Карта помнит освещенные факелами клетки"
"Map sector [%d(%02d),%d(%02d)], which is%s your sector.  Direction?"	"Сектор карты [%d(%02d),%d(%02d)] %s%s. Направление?"
"Map sector [%d,%d], which is%s your sector.  Direction?"	"Сектор карты [%d,%d] %s%s.  Направление?"
"mass banishment"	"массового изгнания"
"Mass Banishment"	"Массовое Изгнание"
"Massive explosions rupture your body!"	"Массивные взрывы сотрясают ваше тело!"
"Mass Sleep"	"Массовое Усыпление"
"MaxDepth"	"Макс. глубина"
" (Max %d)"	" (Макс. %d)"
"Max Exp: "	"Макс. опыт: "
"Max Exp"	"Макс. опыт"
"Max HP "	"ЗДОР. "
"Maximize"	"Максимиз."
"(Max of 18/%02d):"	"(Макс. 18/%02d):"
"(Max of %2d):"	"(Макс. %2d):"
"Max SP "	"МАНА   "
" may breathe "	" может дышать "
" may "	" может "
"Melee"	"Рукоп"
" melt!"	" плавятся!"
"Merge discounts when stacking"	"Складывать предметы с разными скидками"
"Merge inscriptions when stacking"	"Складывать предметы с разными надписями"
"Message Recall (%d-%d of %d), Offset %d"	"Список сообщений (%d-%d из %d), смещение %d"
"Meteor Swarm"	"Поток Метеоров"
"Might:"	"ВСила:"
"minions"	"подданных"
"]:Misc. armor"	"]:Разные доспехи"
"Mithril "	"мифрилов"
" mithril "	" мифриловых "
"m:Mold"	"m:Плесень"
"M:Multi-Headed Reptile"	"M:Гидра"
"moan"	"ворчать"
"Monsters act smarter in groups (v.slow)"	"Монстры действуют умнее в стаях (медленно)"
"Monsters behave more intelligently"	"Монстры действуют более разумно"
"Monsters chase current location (v.slow)"	"Монстры преследуют по звуку (медленно)"
"Monsters chase recent locations (v.slow)"	"Монстры преследуют по запаху (медленно)"
"Monsters exploit players weaknesses"	"Монстры используют слабости героя"
"Monsters learn from their mistakes"	"Монстры учатся на ошибках"
"Monster Spoilers for %s Version %s\n"	"Спойлер монстров для %s версия %s\n"
"moons you!!!"	"обзывает вас!"
"-- more --"	"-- далее --"
"-more-"	"-далее-"
"Mortal wound"	"Смертел.раны"
"movement keys"	"курсорные клавиши"
" moves"	" двигается"
" (Multiple Traps)"	" (несколько ловушек)"
"mumbles something about mushrooms."	"что-то говорит про грибы."
"& # Mushroom~"	"& # гриб$N2A"
"naive"	"наивным"
"Name"	"Имя"
"Nasty cut   "	"Тяжелые раны"
" natural"	" естественн%s"
"nether"	"могильной силой"
"Nethr:"	"Могил:"
"Neutralize Poison"	"Нейтрализация Яда"
"New base delay factor (0-9 or ESC to accept): "	"Новая задержка (0-9 или ESC для принятия): "
"New hitpoint warning (0-9 or ESC to accept): "	"Новое значение (0-9 или ESC для принятия): "
"Nexus:"	"Прост:"
"nexus"	"пространством"
"\nLevel %u, Rarity %u, %d.%d lbs, %ld AU\n"	"\nУровень %u, редкость %u, %d.%d фнт, стоит %ld\n"
"n:Naga"	"n:Нага"
"\n\n[Press any key to continue]\n"	"\n\n[Нажмите любую клавишу для продолжения]\n"
"\n\n   This item does not seem to possess any special abilities."	"\n\nВы не видите ничего особенного."
"\n\n   This item has not been identified."	"\n\nЭтот предмет не был идентифицирован."
"No battles to the death are recalled.  "	"Битв до смерти с такими существами не было.  "
"nobody (yet!)"	"...пока никем"
"no more "	"нет больше "
"(NONE)"	"(НЕТ)"
"Non-unique monster list."	"Список неуникальных монстров."
" north"	"С"
"Note: %s"	"Заметки: %s"
"Note that stats are not independant, so it is not possible to"	"Показатели зависят друг от друга, и вы не сможете достичь"
"Note: "	"Заметки: "
"Nothing happens!"	"...Ничего не происходит!"
"Nothing happens."	"Ничего не происходит."
"Nothing is known about %s attack.  "	"О %s атаках ничего не известно.  "
"Nothing was stolen."	"Ничего не было украдено."
"(nothing)"	"(пусто)"
"not meet the minimum values for any stats specified below."	"заданным значениям показателей."
"Num:%d  "	"  N:%d  "
"Object (%s)"	"Предмет (%s)"
" object"	" предмет"
" (offscreen)"	" (за экраном)"
"% off"	"% скидка"
"of Morgoth"	"Моргота"
"of Power (The One Ring)"	"Всевластья"
"of %s"	"%s"
"Okay."	"Хорошо."
"On arm"	"Щит"
"On body"	"На теле"
"on dungeon level %d"	"на %d уровне подземелья"
" one or two"	" один или два"
"On feet"	"На ногах"
"On hands"	"На руках"
"On head"	"На голове"
"On left hand"	"На левой руке"
"On right hand"	"На прав. руке"
"On the ground: %s."	"На земле: %s."
"on "	"на: "
"O:Ogre"	"O:Огр"
"Oops! It feels deathly cold!"	"Черт! Он%s жутко холодн%s!"
"o:Orc"	"o:Орк"
"Open/Disarm/Close without direction"	"Открывать/Обезвреж./Закрывать без направл."
"Open/Disarm doors/traps on movement"	"Открывать/Обезвред. двери/ловушки автоматически"
"open doors"	"открывать двери"
"  [Options]\n\n"	"  [Опции]\n\n"
"Orange"	"Оранжевый"
"Orb of Draining"	"Святой Огонь"
"orcs"	"орков"
" orc"	" орк"
", or 'Enter' to accept"	", 'Enter' - принять"
" or "	" или "
" or"	" или"
"(Page %d)"	"(Стр. %d)"
"Panic save failed!"	"Аварийное сохранение не удалось!"
"panic save failed!"	"критическое сохранение не удалось!"
"Panic save succeeded!"	"Аварийное сохранение успешно!"
"panic save succeeded!"	"критическое сохранение совершено!"
"Panic save..."	"аварийное сохранение..."
"Paralyzed!"	"Паралич!  "
"paralyze"	"парализуют"
"Parsing '%s'"	"Не удалось понять '%s'"
"pass through walls"	"проходить через стены"
"pays little attention to"	"редко обращает внимание на"
"pays very little attention to"	"очень редко обращает внимание на"
"Perception"	"Восприятие"
"Perhaps the archive was not extracted correctly.\n"	"Возможно, архив был извлечен неправильно.\n"
", 'p' for prev"	", 'p' - предыдущий"
"P:Giant Humanoid"	"P:Гигант"
"Phase Door"	"Фазовая Дверь"
"phase door"	"фазовой двери"
"Pick things up by default"	"Поднимать предметы по умолчанию"
"pick up objects"	"поднимать предметы"
"Pick up %s? "	"Взять %s? "
"plasma"	"плазмой"
"Please finish up and/or save your game."	"Завершите или сохраните игру."
"Please select your character from the menu below:\n\n"	"Создайте героя с помощью следующих меню:\n\n"
"Please switch to high- or true-color mode."	"Для полноценной работы необходима глубина цвета 16 или 24 бит."
"Please verify SUICIDE by typing the '@' sign: "	"Пожалуйста, введите знак '@' для подтверждения: "
"Please wait..."	"Ждите..."
"PLite:"	"ПСвет:"
"Poisoned"	"Отравлен"
"poison gas"	"ядовитым газом"
" (Poison Needle)"	" (ядовитый шип)"
"poisonous food"	"отравленная еда"
"poison"	"отравлением"
" Pois:"	" Яд  :"
"Polearms"	"Прочее оружие"
"Polymorph Other"	"Трансформация"
"Poor"	"Неважно"
"Portal"	"Портал"
"Potions"	"Зелья"
"& # Potion~"	"& # напит*ок$N2A"
"p:Person/Human"	"p:Человек"
"Prayer"	"Молитва"
"Pray hard enough and your prayers may be answered."	"Молитесь!"
"prefers to ignore"	"предпочтает игнорировать"
"Preserve"	"Сохранен."
"[Press a Number, or ESC to exit.]"	"[Нажмите цифру, или ESC для выхода.]"
"[Press any key to continue]"	"[Нажмите любую клавишу]"
"[Press any key to exit.]"	"[Нажмите любую клавишу для выхода.]"
"[Press ESC to exit, any other key to continue.]"	"[Нажмите ESC для выхода, любую другую клавишу для продолжения.]"
"[Press ESC to exit.]"	"[Нажмите ESC для выхода.]"
"[Press 'p' for older, 'n' for newer, ..., or ESCAPE]"	"[Нажмите 'p' для более старых, 'n' для более новых, или ESC]"
"Press Return (or Escape)."	"Нажмите Return (или Escape)."
"[Press Space to advance, or ESC to exit.]"	"[Нажмите Space для прокрутки, или ESC для выхода.]"
"Price"	"Цена"
"Probing..."	"Анализ..."
"Probing"	"Анализ Монстра"
"probing"	"зондирования"
"produce acid balls"	"создают кислотные шары"
"produce acid bolts"	"создают кислотные стрелы"
"produce fire balls"	"создают огненные шары"
"produce fire bolts"	"создают огненные стрелы"
"produce frost balls"	"создают ледяные шары"
"produce frost bolts"	"создают ледяные стрелы"
"produce ice bolts"	"создают мощные ледяные стрелы"
"produce lightning balls"	"создают шаровые молнии"
"produce lightning bolts"	"бьют молнией"
"produce magic missiles"	"создают волшебные стрелы"
"produce mana bolts"	"создают стрелы маны"
"produce nether balls"	"создают могильные шары"
"produce nether bolts"	"создают могильные стрелы"
"produce plasma bolts"	"создают плазменные стрелы"
"produce poison balls"	"создают ядовитые облака"
"produce poison bolts"	"создают ядовитые стрелы"
"produce water balls"	"создают водовороты"
"produce water bolts"	"создают струи воды"
"Prompt before picking things up"	"Спрашивать перед поднятием предметов"
"Prompt for floor item selection"	"Спрашивать перед выбором предметов с пола"
"Protection from Evil"	"Защита от Зла"
"protection from evil"	"защиты от зла"
"punches you."	"толкает вас."
"punch"	"толкать"
"push past weaker monsters"	"расталкивать слабых монстров"
"q,p,o,+,-,<dir>"	"q,p,o,+,-,<напр>"
"q:Quadruped"	"q:Четвероногое"
"Q:Quylthulg (Pulsing Flesh Mound)"	"Q:Квулсхулг (пульсирующий холмик)"
"['Q' to suicide, 'S' to start over, or any other key to continue]"	"['Q' для выхода, 'S' сначала, любую другую для продолжения]"
"q,t,p,m,+,-,<dir>"	"q,t,p,m,+,-,<напр>"
"q,t,p,o,+,-,<dir>"	"q,t,p,o,+,-,<напр>"
"Quaff which potion? "	"Выпить какой напиток? "
"Quantity (0-%d): "	"Количество (0-%d): "
"Queen"	"Королева"
" quickly"	" быстро"
"Quitting"	"самоубийством"
"Race"	"Раса"
"Random artifacts are disabled in this binary."	"Случайные артефакты запрещены."
" range 10"	" рад. 10"
" range %d"	" рад. %d"
"Rar:%d  "	"Ред:%d  "
" RB"	" РБ"
"Read which scroll? "	"Прочитать какой свиток? "
"Really destroy %s? "	"Действительно уничтожить %s? "
"Really try"	"Действительно"
"Recall details? (k/p/y/n): "	"Просмотреть детали? (k/p/y/n): "
" [(r)ecall, ESC]"	" [(r)подробнее, ESC]"
"recharge item I"	"перезарядки I"
